GeneType,GeneLength (5'-3'intron included),Isoform Number,Exon Number,AverageExon Length,Average Intron Length,Average5UTR Length,Average3UTR Length,Average CDS Length,GC Content,Purine Content,CodonUsageBias ,stAI,EP1,ESI1,EP2,ESI2,EP3,ESI3,EP4,ESI4
1,433,1,2,189,55,122,25,228,0.484848485,0.575757576,0.212307,0.2761,0.040512821,0.997239603,0.344827586,0.991071429,3,0.980769231,0,0.877841358
1,3281,1,3,257.3333333,1254.5,188.5,131,261,0.492424242,0.541666667,0.203207,0.2526,0.030512821,0.991129509,0,0.956997904,1,1,0,0.877841358
1,491,1,2,218.5,54,156,26,252,0.509803922,0.466666667,0.205164,0.2912,2.325128205,0.544231792,0.24137931,0.910714286,11,0.897435897,76,0.706896552
1,941,2,3,387.3333333,133.5,179,249.6666667,231,0.444444444,0.576923077,0.211771,0.3973,0.054102564,0.950252343,0.275862069,0.978571429,18,0.807692308,1,1
1,3077,1,2,220,2637,75,110.5,141,0.569444444,0.541666667,0.473143,0.3639,1.711538462,0.91128115,1.275862069,0.81547619,18,0.9,42,0.744827586
1,661,1,2,298.5,64,154,37,249,0.551587302,0.531746032,0.251966,0.2402,0.009230769,0.958646617,0,0.956997904,5,1,0,0.877841358
1,590,1,1,590,0,36,116,435,0.623287671,0.529680365,0.354025,0.451,451.9330769,0.90320402,315.2758621,0.915087867,9407,0.759933677,4415,0.940332246
0,1756,2,4,390.5,206,188.3333333,565,381,0.565104167,0.591145833,0.187172,0.3959,5.093846154,0.895651087,7.068965517,0.951559934,85,0.875,103,0.919911012
0,2155,1,1,2155,0,119,755,1278,0.572209212,0.524590164,0.114637,0.4291,1.473589744,0.900074686,3.551724138,0.950166113,198,0.775862069,183,0.905700211
0,2266,1,2,1107,52,229,257,1725,0.561921296,0.513888889,0.10379,0.4428,3.825897436,0.856554486,6.586206897,0.93539916,387,0.746606335,487,0.871442919
0,1545,1,1,1545,0,113,97,1332,0.604494382,0.521348315,0.100095,0.4342,2.722307692,0.970279942,3.965517241,0.951895044,47,0.676923077,84,0.672413793
0,5353,2,4,777.5,1276,336.5,706,1707,0.56374269,0.531578947,0.207774,0.4261,0.018717949,0.86622807,4.344827586,0.958128079,40,0.952991453,300,0.928923293
0,2460,1,1,2460,0,81,63,2313,0.577288428,0.610967185,0.122016,0.4912,2.560512821,0.78999432,15.51724138,0.886904762,677,0.637869822,605,0.692481628
0,928,1,2,345,238,111,123,453,0.596491228,0.550438596,0.229137,0.5026,0.187692308,0.710526316,251.6206897,0.994602574,1403,0.887730984,870,0.986635869
0,3400,1,5,632.2,59.75,71,81,3006,0.563642406,0.520438684,0.0891501,0.4338,4.179487179,0.638829458,6.620689655,0.632352941,198,0.615384615,389,0.555418719
0,3564,1,5,427.8,356.25,153,309,1674,0.596302922,0.519976148,0.0771474,0.435,0.412564103,0.92202489,1.517241379,0.943277311,43,0.92032967,296,0.912972085
0,18121,4,10,514.5,2626.571429,343.25,616.3333333,1212,0.592592593,0.518518519,0.115258,0.3468,10.35307692,0.872656696,2.275862069,0.888392857,69,0.596153846,129,0.84107946
0,2275,3,5,853,95,236.6666667,364.3333333,1227,0.629268293,0.497560976,0.110554,0.3865,2.66,0.519822283,9.551724138,0.782051282,259,0.682692308,398,0.673321234
0,2830,1,4,666,55.33333333,151,422,2088,0.555236729,0.520803443,0.126315,0.4216,5.097948718,0.661454892,13.44827586,0.839537223,483,0.634615385,855,0.733638283
0,1454,1,5,240.6,62.75,68,67,1065,0.532771536,0.514044944,0.125622,0.4057,13.12538462,0.609650479,11.31034483,0.567142857,472,0.682503771,602,0.62745098
0,1096,1,2,468.5,159,390,70,474,0.572327044,0.532494759,0.115148,0.3669,0.301025641,0.734856008,0.275862069,0.892857143,15,0.923076923,1,1
0,13339,4,9,685.3333333,1831,230.8,1476.5,1283.25,0.57754386,0.557192982,0.128848,0.5142,14.16051282,0.749493734,23.48275862,0.727848101,387,0.418269231,586,0.564554932
0,1185,1,3,249.3333333,218.5,166,303,276,0.548387097,0.537634409,0.223392,0.5148,8.812051282,0.510403219,44.10344828,0.569606414,1119,0.745682889,904,0.446324008
0,7662,5,14,202.2142857,594,141.875,406,1161,0.532646048,0.521477663,0.0901177,0.4303,23.38487179,0.614576844,13.55172414,0.730590062,495,0.5625,667,0.637931034
0,1375,1,2,523,329,89,165,789,0.613636364,0.481060606,0.25032,0.5282,0.015128205,0.906882591,0,0.785671573,18,0.992307692,760,0.990289004
0,6319,1,3,665.6666667,2161,160.5,194,1479,0.605263158,0.528340081,0.196187,0.4864,0.192820513,0.880804954,2.448275862,0.973867596,158,0.982709951,1697,0.941598248
0,1243,1,2,589,65,78,209,888,0.600448934,0.57687991,0.147628,0.4621,2.004615385,0.790379044,7.793103448,0.838850174,269,0.521153846,321,0.652794293
0,5234,2,8,572.125,339.8333333,198.3333333,1066,1785,0.553131991,0.508948546,0.116436,0.4216,3.530769231,0.859939104,22.31034483,0.802308802,130,0.830128205,151,0.687356322
0,2164,2,4,533,136,487.5,632,444,0.597315436,0.458612975,0.211104,0.3833,22.28307692,0.678913789,4.551724138,0.81122449,155,0.740384615,372,0.5921522
0,3731,3,6,462.1666667,576.6666667,167,130,1471,0.594795539,0.520446097,0.155383,0.49,40.15307692,0.836102372,45.48275862,0.885691538,1380,0.741942415,3023,0.7441168
0,7568,2,6,1371.5,117.75,495,717,4863,0.586724209,0.510069873,0.0997307,0.4214,5.704615385,0.553014509,5.24137931,0.834656085,210,0.769230769,457,0.780311457
0,4577,1,4,957,249.6666667,414,1197,2214,0.591339648,0.51195309,0.157406,0.4021,2.697435897,0.806774072,11.03448276,0.874748491,432,0.652057245,574,0.798850575
0,1185,1,1,1185,0,81,66,1035,0.55973025,0.583815029,0.145781,0.4479,4.261282051,0.594586169,11.68965517,0.740418118,362,0.458333333,886,0.621621622
0,1480,2,5,330.8,56.66666667,101,159.5,1014,0.58013766,0.599803343,0.141272,0.4756,2.558461538,0.667110663,6.75862069,0.776455026,181,0.541208791,243,0.54158215
0,2637,2,6,425.6666667,56.6,119,143,2146.5,0.542711235,0.52553389,0.0947117,0.4167,2.807692308,0.415811775,4.103448276,0.610714286,121,0.456730769,169,0.670258621
0,4568,2,4,1928.75,111,66,161.5,4020,0.537658464,0.534427044,0.10739,0.4575,7.686153846,0.50870286,10.34482759,0.638888889,325,0.47027972,776,0.723336006
0,5604,2,6,914,292,463,139,3759,0.511695906,0.582668793,0.138885,0.4297,2.884102564,0.913725451,8.206896552,0.881168831,420,0.786057692,280,0.819923372
0,1763,2,4,462,207.6666667,79,292.5,1027.5,0.528,0.567111111,0.137145,0.4028,11.54102564,0.782546766,11.17241379,0.65,388,0.541025641,686,0.551724138
0,1004,1,2,451.5,101,91,65,744,0.536813922,0.510040161,0.137151,0.3904,14.73717949,0.474912217,10.89655172,0.703781513,518,0.64,1027,0.568511797
0,1722,1,2,830,62,85,243,1329,0.460960961,0.582582583,0.102375,0.389,3.702820513,0.981165936,4.413793103,0.926870748,96,0.807692308,126,0.836990596
0,2539,1,3,805.6666667,61,104,312,1998,0.507246377,0.546226887,0.0934898,0.4314,6.642307692,0.996850431,12.68965517,0.963895394,263,0.749450549,500,0.840759396
0,1893,2,2,1787,0,119,150,1515,0.526350461,0.527009223,0.126208,0.4179,5.302564103,0.947376055,2.137931034,0.851190476,38,0.746153846,128,0.593103448
0,1135,1,1,1135,0,24,88,1020,0.574780059,0.48973607,0.121423,0.4349,0.653589744,0.998366228,7.344827586,0.972321429,112,0.707100592,162,0.834975369
0,1499,1,2,719.5,60,110,303,1023,0.503898635,0.506822612,0.097986,0.3821,14.22307692,0.644485593,5.24137931,0.696428571,229,0.638111888,489,0.472413793
0,12747,2,8,320.875,2538.428571,194.3333333,313,1668,0.499700778,0.60203471,0.12409,0.4396,7.699487179,0.531816086,16.79310345,0.719480519,395,0.591628959,464,0.602050326
0,5173,2,4,1257.5,122.6666667,116.6666667,390,4287,0.545454545,0.497668998,0.0833182,0.3855,9.724102564,0.50049914,8.551724138,0.543650794,258,0.670940171,507,0.410098522
0,1556,2,3,588,52,73,777,651,0.529043789,0.519213584,0.0988575,0.3979,2.923333333,0.467607566,7.517241379,0.724285714,204,0.548076923,239,0.691091954
0,4121,3,7,248.5714286,518.8333333,113.75,112,1170,0.587382779,0.503836317,0.193101,0.5057,0.292564103,0.911711531,2.068965517,0.942546584,119,0.97212932,500,0.881904181
0,1850,1,3,410.6666667,309,109,478,642,0.595348837,0.480620155,0.221107,0.5312,0.112564103,0.845805921,2.413793103,0.984693878,126,0.827759197,5205,0.911296239
0,1994,2,4,544.5,172.5,113,669.5,591,0.575757576,0.478114478,0.198157,0.5282,26.03076923,0.63935476,31.48275862,0.549040512,1164,0.52972028,1565,0.466424682
0,1505,1,1,1505,0,94,61,1347,0.520740741,0.551111111,0.117179,0.4242,4.805897436,0.636405242,7.896551724,0.836236934,320,0.546153846,410,0.751724138
0,1010,1,3,297.6666667,58.5,95,90,705,0.540960452,0.518361582,0.134096,0.4383,26.82538462,0.855990896,25.5862069,0.846428571,795,0.482517483,1366,0.682964488
0,2048,2,5,365.4,176.6666667,136.6666667,132,1215,0.502463054,0.536124795,0.112328,0.4511,9.637948718,0.876101986,9.206896552,0.828416149,373,0.590144231,925,0.680076628
0,1457,1,3,445,61,97,113,1122,0.505777778,0.515555556,0.098319,0.4279,6.016410256,0.590861851,5.724137931,0.823979592,250,0.504273504,551,0.790893015
0,1892,3,9,340.5555556,63.66666667,204.5,149.3333333,1245,0.564564565,0.498498498,0.0906125,0.4205,7.268974359,0.681093061,9.689655172,0.796768707,244,0.517094017,309,0.501724138
0,1369,3,4,504,355.6666667,112,125.5,642,0.6,0.542635659,0.137614,0.4038,11.5974359,0.502432357,18.4137931,0.474789916,598,0.596153846,1061,0.453749316
0,2251,2,5,451.2,105.6666667,117.6666667,0,1686,0.543516874,0.539964476,0.129593,0.3632,0.406153846,0.85335226,0.379310345,0.839285714,11,0.953846154,20,0.689655172
0,1459,1,5,245.6,57.75,16,66,1143,0.536649215,0.536649215,0.0795118,0.3818,0.226923077,0.862305411,0.103448276,0.928571429,10,0.91025641,18,0.724137931
0,3761,2,3,389.6666667,1766.666667,81.66666667,87,834,0.497013142,0.499402628,0.121456,0.4286,4.29025641,0.47315525,2.310344828,0.796428571,90,0.653846154,214,0.713643178
0,3603,1,4,773.25,170,38,151,2901,0.558539945,0.582644628,0.121321,0.4617,1.208461538,0.996372208,8.793103448,0.980851979,102,0.646153846,215,0.853658537
0,2160,2,4,423.75,408.5,120,410,690,0.533910534,0.463203463,0.131663,0.4155,7.722307692,0.723699283,21.27586207,0.821775312,712,0.898744113,1311,0.826156046
0,2211,1,3,562.3333333,262,96,124,1464,0.524880709,0.537832311,0.0788714,0.327,5.454102564,0.653388969,4,0.87,222,0.722222222,258,0.610837438
0,4098,2,5,828.8,68.66666667,148,261.5,3420,0.566170026,0.553900088,0.168328,0.4753,36.80153846,0.646679645,82.65517241,0.565345369,2354,0.434871795,4762,0.557137129
0,10822,2,3,551.3333333,9348.5,127,103,1167,0.566666667,0.520512821,0.107248,0.395,2.047179487,0.925835032,3.413793103,0.9375,83,0.92022792,487,0.827160494
0,1935,2,2,1681.5,0,112,483.5,1083,0.581952118,0.535911602,0.154778,0.481,12.10948718,0.899794789,7.965517241,0.908791209,351,0.475961538,547,0.585385878
0,2618,1,7,309.7142857,75,82,97,1986,0.485671192,0.53092006,0.10061,0.4235,8.176666667,0.351187704,6.620689655,0.578571429,207,0.426035503,365,0.405172414
0,1004,1,3,296,58,84,93,708,0.548523207,0.524613221,0.110953,0.3647,18.0825641,0.622520727,19.20689655,0.759424603,671,0.532428356,931,0.48097503
0,19730,2,5,453.6,6968.4,282,411,1290,0.601701469,0.498839907,0.127926,0.4392,2.742564103,0.764236009,2.068965517,0.767857143,59,0.66025641,293,0.697701149
0,2507,2,3,733.6666667,422,274.3333333,671,634.5,0.552795031,0.476190476,0.147018,0.4654,44.64333333,0.770933381,30.51724138,0.770108043,1234,0.486583184,1076,0.539770115
0,3167,2,6,533.6666667,57.25,86,104,2697,0.497407407,0.503703704,0.0629784,0.3972,3.019487179,0.410222873,1.862068966,0.794642857,112,0.646853147,197,0.657088123
0,760,2,4,186.75,82.5,132,72,378,0.511811024,0.627296588,0.18305,0.5633,17.95333333,0.760124089,52.55172414,0.703832753,1750,0.561102019,1789,0.391882184
0,897,2,4,246.25,55,77,18,669,0.523809524,0.53422619,0.108247,0.4699,4.060769231,0.560137761,9.517241379,0.587662338,292,0.447368421,309,0.527093596
0,4870,3,6,930,225,73,133,4062,0.565067651,0.516851169,0.0937422,0.4457,12.68615385,0.815772452,24.10344828,0.783549784,819,0.72027972,680,0.615763547
0,906,1,1,906,0,87,132,684,0.544395924,0.531295488,0.107433,0.4083,1.92025641,0.700565463,2.75862069,0.718253968,129,0.487179487,135,0.701970443
0,1105,1,1,1105,0,101,83,918,0.583061889,0.52660152,0.141073,0.4715,25.27820513,0.804898865,27.44827586,0.831192189,1053,0.625196232,1873,0.633326194
0,2538,2,5,544.2,216.6666667,230,222,1350,0.584626755,0.472283814,0.104208,0.4146,12.18179487,0.603080569,8.965517241,0.593537415,440,0.761034048,793,0.546182266
0,4404,3,10,397.5,190.4285714,361.5,326.75,1732,0.596290235,0.523731588,0.127619,0.4045,5.804358974,0.934271518,5.896551724,0.943181818,90,0.834841629,218,0.846551724
0,1179,1,2,540.5,98,67,252,759,0.49343832,0.56824147,0.0900587,0.4183,2.72025641,0.809389441,5.655172414,0.858225108,259,0.745475113,341,0.62901308
0,3745,2,6,646.6666667,395,440.5,500,1395,0.560085837,0.494992847,0.156125,0.3908,27.30025641,0.692362462,18.5862069,0.665521978,578,0.602564103,794,0.57816092
0,941,2,4,230.75,58,108,134,507,0.541176471,0.531372549,0.235612,0.5381,7.805384615,0.959458925,9.965517241,0.901669759,279,0.893451143,416,0.806787083
0,1094,2,4,347,76,130,179,639,0.514459665,0.610350076,0.166115,0.4606,10.08384615,0.642727556,54.68965517,0.809142857,1336,0.461106309,850,0.545977011
0,5371,7,16,289.1875,618.6363636,125.375,582.5,1088.142857,0.526548673,0.536381514,0.137242,0.4354,76.10051282,0.909050824,25.79310345,0.705908289,928,0.568825911,1381,0.60929803
0,29072,3,10,429.2,3209.375,154.5555556,997,2156,0.579263068,0.540274207,0.139329,0.4136,2.945384615,0.819692773,8.931034483,0.595238095,178,0.678137652,202,0.794292509
0,2173,1,8,180.625,104,40,85,1317,0.503787879,0.496969697,0.130386,0.4117,6.26,0.92610152,3.827586207,0.863354037,216,0.819838057,291,0.829697396
0,2246,1,5,402.6,58.25,90,60,1860,0.527643586,0.534084809,0.0942135,0.4217,8.016666667,0.473754904,3.344827586,0.8625,165,0.550295858,614,0.574212894
0,2505,1,4,577,65.66666667,112,285,1908,0.538461538,0.497121926,0.0882049,0.3988,2.184102564,0.680926121,2.24137931,0.842261905,51,0.711538462,128,0.593103448
0,3429,2,7,249.2857143,366.6,193,238,876,0.584755404,0.547212742,0.185874,0.4917,29.39512821,0.624548787,19.79310345,0.5589701,852,0.670267934,1578,0.386699507
0,1537,1,5,265.2,52.75,34,104,1185,0.500841751,0.579124579,0.116131,0.4087,0.858974359,0.982802515,5.310344828,0.869047619,87,0.620192308,75,0.747126437
0,1994,1,4,453.75,59.66666667,29,49,1734,0.538284398,0.530224525,0.0986634,0.4221,4.156153846,0.509908245,5.827586207,0.487012987,217,0.516826923,390,0.626959248
0,1117,1,5,176.2,59,76,115,687,0.510144928,0.524637681,0.179979,0.4438,1.149487179,0.852569568,4.482758621,0.81462585,145,0.666666667,160,0.532915361
0,1738,1,3,455.3333333,186,134,101,1128,0.572060124,0.569407604,0.142147,0.4822,5.941282051,0.791430135,43.89655172,0.691287879,1188,0.474358974,800,0.513988289
0,2780,2,8,483.75,62.5,91.33333333,266,2086.5,0.545671927,0.532281205,0.0923199,0.3743,4.963846154,0.553291306,9.310344828,0.70320197,281,0.523809524,305,0.480943739
0,1126,2,3,730,62,110.6666667,599,327,0.554545455,0.548484848,0.165536,0.4588,9.202820513,0.587013464,20.24137931,0.640161725,412,0.527295285,676,0.558761436
0,2464,2,5,858.8,60.33333333,154,77,2077.5,0.531609195,0.55316092,0.117331,0.4261,2.383589744,0.781439334,8.448275862,0.699175824,214,0.646520147,419,0.432471264
0,2551,1,3,715.3333333,202.5,53,740,1350,0.500369549,0.531411678,0.103148,0.4628,3.357435897,0.737481802,3.344827586,0.831932773,113,0.78280543,91,0.685823755
0,656,1,1,656,0,69,86,498,0.558882236,0.493013972,0.217987,0.4438,0.038461538,0.779605263,0,0.785671573,6,0.992307692,496,0.946772767
0,1740,1,2,843.5,53,200,104,1380,0.523499638,0.503976862,0.150311,0.4307,2.108205128,0.813144931,3.827586207,0.911830357,184,0.730769231,260,0.851513019
0,1519,2,3,926.3333333,52,105,121,1215,0.490147783,0.532019704,0.129038,0.4093,5.567435897,0.99894752,2.965517241,0.960801394,113,0.877492877,313,0.854597701
0,1063,1,1,1063,0,88,96,876,0.489192264,0.532423208,0.118739,0.4284,11.07846154,0.332176595,6.655172414,0.748511905,207,0.507692308,387,0.500689655
0,10199,4,5,2558.8,1363,1098.5,766.5,4257.75,0.497274143,0.573208723,0.0972263,0.3678,5.974358974,0.63750292,16.37931034,0.80332681,420,0.733671988,504,0.648275862
0,1074,1,2,506,62,50,71,888,0.545454545,0.523007856,0.121351,0.4364,12.05897436,0.487277645,11.20689655,0.661290323,582,0.517889088,1425,0.420258621
0,1498,1,4,281.5,124,284,158,681,0.536549708,0.467836257,0.17193,0.4701,24.51102564,0.400075993,13.75862069,0.738839286,533,0.572552448,1043,0.630375823
0,2371,2,9,240.2222222,66.85714286,233,166,1293,0.450617284,0.528549383,0.10516,0.4037,0.387692308,0.901191658,0.172413793,0.946428571,17,0.875,20,0.804597701
0,674,2,2,618.5,0,80.5,199,336,0.525073746,0.519174041,0.210143,0.399,32.66384615,0.916030495,8.586206897,0.917142857,472,0.667974882,523,0.712438424
0,2090,1,4,480.25,56.33333333,114,49,1755,0.496018203,0.523321957,0.0901612,0.3981,4.994102564,0.607905478,6.448275862,0.701785714,208,0.505128205,375,0.555555556
0,2977,1,3,953,59,71,22,2763,0.429139552,0.490600145,0.0821559,0.3842,4.013333333,0.384735202,3.103448276,0.788461538,82,0.775641026,129,0.663793103
0,2456,3,5,534.8,255.5,298.3333333,167,1365,0.543859649,0.527777778,0.136506,0.4732,24.97179487,0.799631309,15.4137931,0.636607143,886,0.742140468,1027,0.58045977
0,4728,4,9,836.3333333,106.3333333,232,522.5,3187.5,0.568609023,0.53226817,0.100671,0.4219,10.25025641,0.372086934,21.37931034,0.755424955,540,0.614599686,998,0.647810926
0,1607,2,3,888.6666667,258,57.33333333,29,1215,0.517241379,0.502463054,0.113579,0.3908,4.451794872,0.348430423,2.965517241,0.523809524,137,0.599358974,208,0.522167488
0,3079,3,6,599,503.75,105,607.6666667,844,0.569746377,0.582427536,0.131622,0.4354,6.437435897,0.742028263,14.62068966,0.732857143,409,0.589010989,637,0.745462795
0,1560,1,2,738.5,83,95,519,765,0.55859375,0.592447917,0.135151,0.4285,6.568461538,0.62288576,7.896551724,0.780133929,292,0.503663004,383,0.734326019
0,710,1,2,317,76,62,173,396,0.556390977,0.528822055,0.150697,0.3509,6.293076923,0.866802719,4.75862069,0.881696429,217,0.852991453,722,0.651458886
0,1398,2,3,671.6666667,63,248.6666667,145.5,486,0.517382413,0.586912065,0.156127,0.4837,4.733589744,0.876879988,4.275862069,0.824829932,111,0.564102564,321,0.531347962
0,2450,1,2,1195.5,59,38,52,2298,0.488048674,0.55888744,0.0987247,0.4246,5.938461538,0.677447052,34.89655172,0.89453125,1387,0.778236398,969,0.722204318
0,2880,1,2,1410,60,98,391,2328,0.491205491,0.55984556,0.129847,0.421,1.576153846,0.932103117,5.310344828,0.951098901,250,0.737980769,354,0.804163956
0,5502,2,11,337.1818182,265.1111111,186,591.5,2049,0.506822612,0.528752437,0.09193,0.4322,21.01205128,0.668271625,30.75862069,0.778801843,953,0.591463415,1356,0.616995074
0,2448,1,3,778.3333333,56.5,81,376,1875,0.51970181,0.50798722,0.0894836,0.4168,10.97871795,0.647826318,9.517241379,0.876728111,402,0.651923077,552,0.770114943
0,1233,2,6,173.6666667,112.75,19,116,594,0.454954955,0.503003003,0.165317,0.4064,3.907435897,0.96001949,0.655172414,0.866071429,46,0.841880342,15,0.775862069
0,1735,2,6,220,142.75,91.33333333,176,828,0.525872443,0.523465704,0.153626,0.445,6.239230769,0.410602227,4.103448276,0.708791209,160,0.479020979,108,0.502463054
0,1856,1,1,1856,0,74,210,1569,0.484096692,0.546437659,0.0938804,0.4214,3.841794872,0.561351787,5.034482759,0.818452381,145,0.64010989,152,0.726166329
0,1088,1,2,518,52,78,37,918,0.543973941,0.54723127,0.153569,0.4553,7.368205128,0.477143294,15.86206897,0.678571429,547,0.46985447,937,0.447021944
0,3747,1,12,257.6666667,59.54545455,42,221,2826,0.48815836,0.506185931,0.0851447,0.3909,3.958974359,0.532014342,3.310344828,0.790816327,151,0.623626374,222,0.631578947
0,2869,2,6,484,96.8,144,182,2119.5,0.5,0.492937853,0.0969398,0.4095,8.627948718,0.718101379,11.44827586,0.653225806,353,0.516272189,699,0.611615245
0,11797,3,5,761.8,5785.5,211.25,834,2127,0.56056338,0.521596244,0.0775529,0.3933,9.555384615,0.888288455,14.17241379,0.813311688,219,0.570512821,453,0.797805643
0,1954,2,4,493.5,70.5,190.5,282,1263,0.508688784,0.522906793,0.114246,0.4244,2.156666667,0.991752687,6.344827586,0.93907563,141,0.719457014,111,0.809330629
0,1377,1,3,420.6666667,57.5,54,101,1104,0.527551942,0.560072267,0.126596,0.4337,3.49025641,0.845766129,3.931034483,0.832142857,139,0.503846154,338,0.602809706
0,3587,2,4,409.25,1128.5,86,483,726,0.56515775,0.522633745,0.154595,0.4228,4.745384615,0.545539565,6.551724138,0.80952381,264,0.662393162,451,0.766349584
